key,en,de
status:blitz,The indicator is not moving in the right direction so that the gap to the target value is widening,Der Indikator entwickelt sich nicht in die gewünschte Richtung und somit vergrößert sich der Abstand zum Ziel
status:exploring_data_sources,Exploring data sources,Datenquellenanalyse
status:leicht bewölkt,"If the trend continues, the indicator will be presumably miss its target by at least 5&nbsp;% and at most 20&nbsp% of the difference between the target value and the current value","Bei Fortsetzung der Entwicklung würde das Ziel voraussichtlich um mindestens 5&nbsp;%, aber maximal um 20&nbsp;% der Differenz zwischen Zielwert und aktuellem Wert verfehlt"
status:nebel,No evaluation possible,Keine Bewertung möglich
status:not_applicable,Not applicable,Nicht zutreffend
status:overall_reporting_status,Overall Reporting Status,Übersicht zum Berichtsstatus der
status:reported_online,Reported online,Daten verfügbar
status:reporting_status,Reporting Status,Berichtsstatus
status:sonne,"If the trend continues, the target value will be met or the difference between the target value and the current value will be less than 5&nbsp;%",Bei Fortsetzung der Entwicklung beträgt die Abweichung vom Zielwert weniger als 5&nbsp;% der Differenz zwischen Zielwert und aktuellem Wert
status:statistics_in_progress,Statistics in progress,in Bearbeitung
status:status_by_goal,Status by goal,Status nach Ziel
status:wolke,"The indicator is moving in the right direction but if the trend continues, the target value will be missed by more than 20&nbsp;% in the target year","Der Indikator entwickelt sich zwar in die gewünschte Richtung auf das Ziel zu, bei Fortsetzung der Entwicklung würde das Ziel im Zieljahr aber um mehr als 20&nbsp;% verfehlt"
status:x,No evaluation possible,Keine Bewertung möglich
dns_targets:1.1-title,Limiting poverty,Armut begrenzen
dns_targets:10.1-title,Improving educational success of foreigners in German schools,Schulische Bildungserfolge von Ausländern in Deutschland verbessern
dns_targets:10.2-title,Preventing too-great inequality within Germany,Zu große Ungleichheit innehalb Deutschlands verhindern
dns_targets:11.1-title,Using land sustainable,Fläche nachhaltig nutzen
dns_targets:11.2-title,Guranteeing mobility - Protecting the environment,Mobilität sichern - Umwelt schonen
dns_targets:11.3-title,Affordable housing for all,Bezahlbarer Wohnraum für alle
dns_targets:12.1-title,Making consumption environmentally and socially compatible,Konsum umwelt- und sozialverträglich gestalten
dns_targets:12.2-title,Increasing the proportion of sustainable production,Anteil nachhaltiger Produktion stetig erhöhen
dns_targets:12.3-title,Realising the exemplary role of the public sector in sustainable procurement,Vorbildwirkung der öffentlichen Hand für nachhaltige öffentliche Beschaffung verwirklichen
dns_targets:13.1-title,Reducing greenhouse gases and contributing to international climate financing,Treibhausgase reduzieren und einen Beitrag zur internationalen Klimafinanzierung leisten
dns_targets:14.1-title,Protecting and sustainably using oceans and marine resources,Meere und Meeresressourcen schützen und nachhaltig nutzen
dns_targets:15.1-title,Conserving species - Protecting habitats,Arten erhalten - Lebensräume schützen
dns_targets:15.2-title,"Protecting ecosystems, conserving ecosystem services and preserving habitats","Ökosysteme schützen, Ökosystemleistungen erhalten und Lebensräume bewahren"
dns_targets:15.3-title,Preventing deforestation,Entwaldungen vermeiden
dns_targets:16.1-title,Further increasing personal security,Persönliche Sicherheit weiter erhöhen
dns_targets:16.2-title,"Taking practical action to combat proliferation, especially of small arms","Praktische Maßnahmen zur Bekämpfung der Proliferation, insbesondere von Kleinwaffen, ergreifen"
dns_targets:16.3-title,Combating corruption,Korruption bekämpfen
dns_targets:17.1-title,Supporting sustainable development,Nachhaltige Entwicklung unterstützen
dns_targets:17.2-title,Sharing knowledge internationally,Wissen international vermitteln
dns_targets:17.3-title,Improving trade opportunities for developing countries,Handelschancen der Entwicklungsländer verbessern
dns_targets:2.1-title,Environmentally sound production in our cultivated landscapes,In unseren Kulturlandschaften umweltverträglich produzieren
dns_targets:2.2-title,Realising globally the right to food,Das Recht auf Nahrung weltweit verwirklichen
dns_targets:3.1-title,Living healthy longer,Länger gesund leben
dns_targets:3.2-title,Keeping the environment healthy,Gesunde Umwelt erhalten
dns_targets:4.1-title,Continuously improving education and vocational training,Bildung und Qualifikation kontinuierlich verbessern
dns_targets:4.2-title,Improving the compatibility of work and family life,Vereinbarkeit von Familie und Beruf verbessern
dns_targets:5.1-title,Promoting equal opportunities in society and strengthening the economic participation of women globally,Gleichstellung in der Gesellschaft fördern und wirtschaftliche Teilhabe von Frauen global stärken
dns_targets:6.1-title,Reducing the pollution of water with substances,Minderung der stofflichen Belastung von Gewässern
dns_targets:6.2-title,"Better access to drinking water and sanitation worldwide, higher (safer) quality","Besserer Zugang zu Trinkwasser- und Sanitärversorgung weltweit, höhere (sichere) Qualität"
dns_targets:7.1-title,Using resources economically and efficiently,Ressourcen sparsam und effizient nutzen
dns_targets:7.2-title,Strengthening a sustainable energy supply,Zukunftsfähige Energieversorgung ausbauen
dns_targets:8.1-title,Using resources economically and efficiently,Ressourcen sparsam und effizient nutzen
dns_targets:8.2-title,Consolidating public finances - Creating intergenerational equity,Staatsfinanzen konsolidieren - Generationengerechtigkeit schaffen
dns_targets:8.3-title,Creating favourable investment conditions - Securing long-term prosperity,Gute Investitionsbedingungen schaffen - Wohlstand dauerhaft erhalten
dns_targets:8.4-title,Combining larger economic output with environmental and social responsibility,Wirtschaftsleistung umwelt- und sozialverträglich steigern
dns_targets:8.5-title,Boosting employment levels,Beschäftigungsniveau steigern
dns_targets:8.6-title,Enabling decent work worldwide,Menschenwürdige Arbeit weltweit ermöglichen
dns_targets:9.1-title,Shaping the future with new solutions,Zukunft mit neuen Lösungen gestalten
frontpage:download_all,Download all data,Alle Daten herunterladen
frontpage:heading,National Data for UN-SDGs,Indikatoren der UN-Nachhaltigkeitsziele
frontpage:heading_dns,Sustainable Development in Germany,Indikatoren der Deutschen Nachhaltigkeitsstrategie
frontpage:indstructions_dns,"Click on eack goal, or %before_link search %after_link for the indicators of the German Sustainability Strategy",
frontpage:instructions,"Click on each goal, or %before_link search, %after_link for German statistics for Sustainable Development Goal global indicators.",Klicken Sie auf die einzelnen Ziele um zu den Daten zu den Indikatoren der Ziele für nachhaltige Entwicklung für Deutschland zu gelangen. Oder %before_link suchen %after_link Sie gezielt nach spezifischen Themen.
frontpage:intro_title,17 goals to transform our world,17 Ziele zur Umgestaltung unserer Welt
frontpage:link_18_title,Click here to get to the DESTATIS page about the German Sustainability Strategy,"Klicken Sie hier, um zur DESTATIS Seite der Deutschen Nachhaltigkeitsstrategie zu gelangen"
frontpage:zip_file,ZIP file,ZIP file
header:alpha,Alpha,Alpha-Version
header:disclaimer,"This is a development website. We welcome your <a href=""mailto:%email_address"">feedback</a>.","Diese Seite befindet sich im Entwicklungsstadium. Wir freuen uns über Ihre <a href=""mailto:%email_address"">Kommentare</a>."
header:skip_link,Skip to main content, Zum Hauptinhalt springen
header:tag_line,17 Goals to Transform our World,
global_indicators:1.1.1-title,"Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","Anteil der Bevölkerung, die unter der internationalen Armutsgrenze lebt, nach Geschlecht, Alter, Erwerbsstatus  und geographischer Lage (urban/rural)"
global_indicators:1.2.1-title,"Proportion of population living below the national poverty line, by sex and age","Anteil der Bevölkerung, die unter der nationalen Armutsgrenze lebt, nach Geschlecht und Alter"
